Attribute,Frequency
underlying anticoagulation,1
blood/fluid levels,1
the pneumonectomy margins,1
large foci,1
"the
 pneumonectomy bed",1
"[**2151-3-26**],
 as well as a pre-operative chest ct",1
"the
 left-sided soft tissues",1
"6 a.m.

 findings",1
9 pm,1
"[**2151-3-5**] 9:31 pm
  very limited study",1
btca fri,1
ct removal - ngt placement,1
"ct removal - ngt placement
 admitting diagnosis",1
14728,1
no nasogastric tube,1
empty pneumectomy space,1
subtle air collection,1
s/p pneumectomy,1
"[**3-5**].

 findings",1
suprascapular,1
14860,1
"the suprascapular
 region",1
the small air collection,1
"(status
 post left-sided pneumectomy",1
the left-sided hemithorax,1
"[**2151-3-6**], 5:29 a.m.

 findings",1
"[**3-4**]
 reason",1
15505,1
"[**2151-3-28**].

 findings",1
"status post
 pneumonectomy",1
left volume loss,1
no right sided or central pe,1
"the previously seen leftward
  mediastinal shift",1
"acute
  blood",1
"the left
  pneumonectomy resection cavity",1
predominantly high density fluid,1
3:56 am,1
"recent
  partial pneumonectomy",1
fibrothorax,1
15925,1
"minimal
 progression",1
15810,1
left fibrothorax,1
continued development,1
"no
 airspace consolidation",1
mediastinal leftward shift persists,1
"a slightly more elevated
 left hemidiaphragm",1
"[**2151-3-30**].

 pa",1
question interval change status post pneumonectomy,1
"[**2151-3-27**] 8:25 am
 chest",1
readmitted,1
"the most recent dated [**2151-12-27**].

 technique",1
"the
 imaged intra-abdominal organs",1
ul,1
"metastatic or
 infectious focus",1
"[**2152-4-23**].

 single ap view",1
repositioned left ij,1
"repositioned l ij
 reason",1
"[**2152-4-23**] 2:17 am
 chest",1
"progressive right-sided
 process",1
"[**2152-4-26**] 10:24 am
 chest",1
"persistent worrisome
 thickening",1
"right middle
 lobe nodule",1
"[**2152-4-24**]  1:30 pm
 cta chest w&w/o c&recons, non-coronary                          clip #",1
followups,1
men,1
stable old left humeral bone infarct,1
4.  signs,1
basilar pleural nodules,1
local recurrence,1
the hilar pneumonectomy stump,1
persistent soft tissue lateral,1
subsequent followups,1
other peribronchial opacities,1
the diffuse abnormalities,1
"left thoracotomy
 changes",1
"the left internal jugular central venous
 catheter tip",1
same position,1
15927,1
3.  unchanged nodular opacities,1
stable post,1
ill-defined patchy and nodular densities,1
unchanged leftward shift,1
"[**2152-3-26**].

 single supine ap view",1
"hypotensive,
 tachycardia",1
"p l lubectomy
 reason",1
"**] 10:27 pm
 chest",1
", less likely
 post-pneumectomy syndrome",1
"3:47 am
 chest",1
lymphatic or venous drainage,1
"2:22 a.m.

 single ap view",1
post-pneumectomy syndrome,1
the right mid- and lower lung,1
reticular nodular opacity,1
stable post- pneumectomy appearance,1
"less likely, post- pneumectomy
 syndrome",1
", less likely
  post-pneumectomy syndrome",1
"3:13 pm
  interval increase",1
14734,1
"a left internal jugular venous
 catheter",1
humeral bone infarct,1
anemia persist,1
"tiny small right pleural
 effusion",1
"post left
 pneumonectomy",1
widespread patchy change,1
"a left-sided central
 line",1
"[**2152-4-25**].

 report",1
"progressive right-sided
  process",1
"] 12:19 pm
  pfi",1
15663,1
minimal area,1
the post-operative changes,1
stable post surgical changes,1
internal jugular catheter tip,1
probable progressive change,1
"final report
 assess line placement",1
"[**2151-12-30**] 8:27 am
 chest port",1
15523,1
pa and lateral chest:  post,1
squamous cell carcinoma post,1
"[**2151-12-30**] 4:23 am
 cta chest w&w/o c&recons, non-coronary                          clip #",1
"expected
 followup interval",1
bilateral gynecomastia,1
a left humeral head enchondroma,1
toxic drug damage,1
the nodular pattern,1
"scattered
 coronary artery calcifications",1
59-year-old men,1
"right
 middle lobe peribronchial opacity",1
the most recent pet/ct,1
"basilar
 pleural nodules",1
"local
 recurrence",1
the hilar stump,1
"the left hilar
 region",1
"[**2152-4-7**] and priors back to [**2152-2-7**].

 findings",1
sagittal and oblique reformations,1
5 mm and 2.5 mm axial slice thickness,1
"final report
 ctpa inpatient

 reason",1
the widespread emphysematous change,1
"persistent worrisome
  thickening",1
"right middle
  lobe nodule",1
"[**2152-4-24**] 9:31 pm
  no pulmonary embolism",1
14857,1
"patchy
 nodular and airspace opacities",1
tip crossing midline,1
"a new left internal jugular central
 line",1
"10:37 p.m.

 single ap view",1
misleading,1
15924,1
dense streak,1
primarily gas,1
resorbing,1
thoracic duct,1
takeback,1
7856,1
a new right basilar opacity,1
"the left-
 sided pleural effusion",1
accompanying mediastinal shift,1
"[**2192-5-2**].

 findings",1
new right-sided chest pain,1
"new right sided pain
 _",1
"thoracic
  duct
 reason",1
"lulobectomy (l
  subclavian exploration ligation l vertebral) takeback",1
s/p l thoracotomy,1
"new right sided pain
 admitting diagnosis",1
"[**2192-5-2**] 9:49 pm
 chest",1
7469,1
the effusion and volume loss,1
"w/ chylothorax
 reason",1
"left lung volume
 admitting diagnosis",1
7854,1
"the two left chest
 tubes",1
side status post,1
"lobar collapse
 reason",1
a 44-year-old man,1
pancoast tumor status,1
unchanged small left-sided plate-like atelectasis,1
the left-sided drains,1
"the right-sided
 drains",1
both sidesplease,1
"sided
  tubes",1
now s/p removal,1
"two left sided chest
  tubes",1
lul resection,1
7070,1
relevant changes,1
the supraclavicular air inclusion,1
"slightly
 improved aeration",1
no visible evidence,1
"[**2192-5-5**].

 findings",1
"pneomothorax
 admitting diagnosis",1
extrapulmonary,1
ligationleft,1
7660,1
"otherwise,
 unchanged radiographic appearance",1
"minimal
 right lower lobe atelectasis",1
extrapulmonary air,1
chest tube x2,1
"pancoast
  tumor
 reason",1
2 left side,1
"duct ligation s/p
  chest-tube removal
 reason",1
"no
 residual or no evident pneumothorax",1
"the most inferior
 suture",1
"the midline sternal
 sutures",1
first and second ribs,1
the left thoracic inlet region,1
"basilar minimal
 atelectasis",1
slight expansion,1
the left chest drainage catheter,1
"duct ligation status
 post chest tube removal",1
s/p l pancoast tumor removal,1
01:16,1
"**] 9:19 am
 chest",1
tenacious,1
7855,1
the inferior most wire,1
"vertical
 orientation",1
mild leftward deviation,1
"tenacious secretions
 reason",1
"thoracic duct
  leak",1
inplace,1
7858,1
"[**2192-5-4**] 10:33 am
 chest",1
"2:36 am
 chest",1
increased left pleural effusion,1
09:44,1
"a persistent
 pneumothorax",1
"[**2192-4-28**]

 clinical information",1
7481,1
7863,1
"persistent
 left-sided moderate-sized pleural effusion",1
drainage catheters,1
06:27,1
7853,1
"increased left pleural
 effusion",1
lobar collapse-,1
"11:58

 clinical information",1
"**] 11:26 am
 chest",1
collapse-,1
2.  catheters,1
further reexpansion,1
the drainage catheters,1
"the
 radiographic abnormalities",1
improved reexpansion,1
left lobar collapse,1
8072,1
sidesplease,1
"final report
 portable upright chest radiograph

 findings",1
"this
 semi-upright projection",1
all pulmonary blood flow,1
the thick band,1
upper thorax,1
the residual spaces,1
eval fluid collection,1
14711,1
ct scans,1
"a moderate layering left
 pleural effusion",1
an apparent large left hilar mass,1
"the brachiocephalic
 vein",1
"9:31 am
 chest",1
the dome return,1
internal jugular catheter courses,1
"s/p sepsis
  line placement
 reason",1
"[**2150-11-16**] 12:12 am
 chest port",1
15808,1
"widespread
 malignancy",1
"the right lung and diffuse
 interstitial infiltration",1
the still small left lung,1
the substantial improvement,1
14727,1
"final report
 two-view chest x-ray dated",1
14601,1
"the previous
 pneumonectomy",1
14861,1
"[**2151-3-7**].

 frontal",1
57-year-old man status post pneumonectomy,1
"57 year old man s/p pneumonectomy
 reason",1
"fluid level
 admitting diagnosis",1
reabsorption,1
15518,1
the left supraclavicular subcutaneous emphysema,1
"a continued slow
 reabsorption",1
this upright study,1
"[**2151-3-10**]

 comparison",1
effusion/atelectasisobtain,1
"] 6:11 am
 chest",1
"earlier
 radiographs",1
"recent
 postoperative radiograph",1
earlier postoperative radiographs,1
the left sixth and seventh posterior ribs,1
the interspace,1
similar level,1
persistent expected shift,1
"nsclc - squamous cell, post procedure
 reason",1
"the left
 perihilar mass",1
the subtle opacities,1
non-enlarged enhancing nodes,1
this single-phase examination,1
no concerning findings,1
"the
 atelectatic left lung",1
the apicoposterior segment bronchus,1
"the
 left suprahilar region",1
"1.7 x
 1.5 cm",1
"upper right
 paratracheal lymph node",1
a borderline,1
"the upper left paratracheal
 region",1
additional cluster,1
a larger poorly defined peripheral right basilar opacity,1
associated distal collapse,1
the secondary carina level,1
3.6 x 3.9 cm diameter central left perihilar mass,1
"[**2150-11-16**]

 comparison",1
14726,1
"the
 bilateral parenchymal",1
ongoing improvement,1
both extent,1
"a very small
 pleural effusion",1
"a few subtle
 peribronchiolar ground-glass opacities",1
the left supraglottic region,1
"increased
 opacification persist",1
older studies,1
"substantial
 re",1
central airway obstruction status,1
"malignant central airway obstruction s/p mechanical
  debridment
 reason",1
evaluate lung re,1
pooled,1
"the
 left perihilar mass",1
left supraglottic region,1
asymmetrical appearance,1
smaller peribronchiolar nodules,1
neoplastic etiology,1
"asymmetrical
 positioning",1
4.  poorly defined peripheral right lower lobe opacity,1
"correlative pet
 imaging",1
non-enhancing right hilar lymph nodes,1
upper left paratracheal nodes,1
lower left paratracheal lymph nodes,1
likely squamous cell carcinoma,1
a central lung cancer,1
"the left upper and lower
 lobe",1
large central left perihilar mass,1
pareital,1
14891,1
the pontine changes,1
interval stent placement,1
3)  difficulty,1
"neoplasm or
 tuberculosis",1
the right mediastinal contour suggestive,1
large cell cancer,1
"og tube placment
 reason",1
"a new right internal jugular central venous
 catheter",1
3:42 pm,1
right internal jugular line placement,1
80990,1
successful ng tube placement,1
ap chest film,1
81448,1
stable copd changes,1
the right apical cavitary mass,1
"a right sided
 bronchial stent",1
an additional film,1
"tube
 feeding",1
endotracheal and orogastric tube placements,1
81447,1
basal emphysema,1
"10:27 am
 chest",1
tracheal lumen,1
"airway
 compression",1
"tracheal
 invasion/narrowing",1
17:00,1
the two cavitary mass lesions,1
the paratracheal soft tissue mass,1
contrast-enhanced ct imaging,1
"[**2127-2-28**] 11:48 am
 ct chest w/contrast",1
80831,1
stable collapse/consolidation,1
"a right internal jugular central
 venous line and bronchial stents",1
the previously seen area,1
"a more satisfactory
 level",1
81038,1
"direct
 visualization findings",1
right main stem pulmonary stent,1
81449,1
right ij and ng tube,1
recent ct report,1
a right ij,1
lung cancer status post og tube placement,1
81259,1
5)  proximal location,1
4)  small right pleural effusion,1
oro-,1
early foci,1
scattered small subcentimeter lung nodules,1
the oro-,1
the nodes,1
discrete enlarged nodes,1
nodal mass,1
this conglomerate,1
"a
 large conglomerate lymph node mass",1
the paratracheal and mediastinal fat,1
abnormal soft tissue density,1
extensive retained secretions,1
"hypopharynx
 region",1
reconstruction images,1
some overall narrowing,1
"pulmonary
 lesions",1
a nipple shadow,1
a right upper lobe cavitary lesion,1
"thanks!
 ______________________________________________________________________________
                                 final report
 indications",1
"] 9:27 pm
 chest",1
80939,1
"the
 rounded lesion",1
the first right anterior rib,1
check reintubation ett placement,1
"heterogeneous
 low attenuation",1
adjacent lymph nodes,1
"the cavitary apical
 lesions",1
the maximal coronal narrowing,1
"a
 primary lung neoplasm",1
"reactivation
 tuberculosis",1
"the
 superior and posterior basilar segments",1
"extensive
 adjacent small airways disease",1
two cavitary lesions,1
"left
 supraclavicular region",1
discrete nodes,1
"the mediastinum, note",1
the maximal anteroposterior narrowing,1
"conglomerate
 lymph nodes",1
3d virtual bronchoscopy images,1
"(cont)
 heterogeneous soft tissue mass",1
"both
 extrinsic compression",1
separately dictated report,1
"the
 posterior segments",1
the posterior basilar segmental and subsegmental bronchi,1
circumscribed lung nodules,1
the superior and posterior basilar segments,1
extensive associated small airways disease,1
two irregularly marginated cavitary lesions,1
the large effusions,1
right apical lung masses,1
"11:15 am
 abdomen",1
3) anasarca,1
"left basilic
 vein",1
"a sterile
 fashion",1
long-term ambisome therapy,1
"long-term
  ambisome",1
"] 2:15 pm
 picc",1
mpa-1,1
preplaced,1
procecure,1
awy,1
7790,1
curve/[**doctor,1
fxd,1
c1892,1
use instructions,1
*] g-j tube,1
"a flexi-tract
 bandage",1
o-prolene,1
a single suture,1
an x,1
10 and 12 french dilators,1
"the skin
 puncture site",1
real-time son[**name,1
a 21 gauge micropuncture needle,1
"a 4 french
 dilator",1
"acute etiology
 admitting diagnosis",1
318,1
75405,1
"an acute
 pulmonary infiltrate",1
"a right
 subclavian line",1
"esophageal cancer, fever, cough",1
left-side,1
the right-sided cvl,1
[**2144-2-2**] 2:56 pm,1
acute etiology,1
75339,1
the central region,1
a left upper lobe peripheral pulmonary nodule,1
marked tortuosity,1
left-sided port-a-cath tip,1
possible seizure,1
81066,1
the single lumen,1
"the
 central region",1
"4
 french picc",1
the skin puncture site,1
an 0.035 amplatz superstiff wire,1
"a 5
 french mpa-1 catheter",1
contrast injections,1
2)  bilateral pleural effusion,1
"the
 ett cuff",1
tracheal narrowing distal,1
an approximately 3 cm long area,1
the ett cuff,1
the supine ap chest radiograph,1
paratracheal edema,1
endotracheal cuff,1
80832,1
no other new parenchymal findings,1
the lower most portion,1
"new
 collapse/consolidation",1
"s/p stent
 placement",1
h/o lung neoplasm,1
"final report

 ap portable chest",1
", s/p episode",1
81067,1
no gross failure,1
pink blood,1
"[**2127-2-22**] 12:53 pm
 chest",1
81068,1
the over-inflated cuff,1
2)  possible narrowing,1
air aspiration,1
"g-tube
 ______________________________________________________________________________
                                 final report
 diagnosis",1
a preplaced orogastric tube,1
the patient's stomach,1
"the patient's
 hemodynamics",1
the purpose,1
"divided intravenous
 doses",1
"an additional 1
 mg",1
a versed and fentanyl drip,1
the proposed procecure,1
long-term nutrition,1
permanent feeding access,1
trachea distal,1
fxd curve/[**doctor,1
"*
 * c1887 catheter guiding inf/perf       c1892 int/shth",1
wires incl,1
* catheter,1
[**numeric identifier 131**] perc plcmt entroclysis tube     catheter,1
[**numeric identifier 130**] plct,1
81450,1
new collapse/consolidation,1
over-inflated ett cuff,1
dialted,1
putaminal,1
81258,1
chronic sinus disease,1
18052,1
filtration,1
glomerular,1
"additional
 findings",1
"iv
 gadolinium dtpa",1
chronic inflammatory disease,1
"an
 inflammatory process",1
extremely marginal quality flair images,1
this examination sequence,1
"some
 sections",1
prior mr study,1
the left parasagittal premotor gyrus,1
elevated flair signal,1
a tiny (8.6 mm) area,1
the vertex portion,1
"pathological parenchymal or
 leptomeningeal enhancement",1
"""limited study",1
[**2138-11-11**] mr scan,1
"smaller metastatic
 lesions",1
the ability,1
"a low calculated
 glomerular filtration rate",1
premotor,1
rapid atrial fibrillation,1
beside ap examination,1
presumptive,1
prior chest films,1
2)  air-space opacity,1
slight volume loss,1
"diffuse air
 space opacity",1
"extensive
 right paratracheal",1
"numerous nodular
 densities",1
"tracheal and
 bronchial stent",1
", s/p placement",1
"[**2176-2-26**] 11:56 am
 chest",1
laterally-,1
a markedly abnormal appearance,1
1410,1
86638,1
intrapulmonary metastases,1
progressive findings,1
known presumptive intrapulmonary metastases,1
"a markedly
 spiculated small mass",1
"diffuse,
 coarse interstitial infiltrate",1
"probable laterally-
 layering pleural effusion",1
circumferential pleural thickening,1
"t2-weighted brain
 imaging",1
"small, subtle metastases",1
*] 1:40 am,1
13 x 11 mm,1
"the azygous
 vein",1
nearly the entire length,1
chronic svc occlusion,1
bronchial wall,1
"a
 mild left pleural effusion",1
a mild/moderate right-sided pleural effusion,1
9 x 7 mm,1
the left apex measures,1
small spiculated nodule,1
new spiculated nodule,1
chest wall veins,1
"the right upper lobe
 measures",1
"the
 right upper and right middle lobes",1
"the segmental
 right lower lobe bronchi",1
large left hilar node measures,1
large right hilar node measures,1
subcarinal enlarged nodes,1
bulky bilateral supraclavicular,1
"parapneumonic effusion
 reason",1
recently diagnosed lung ca,1
extensive collateralization,1
intercostal veins,1
"advanced nsclc
 reason",1
"persistent
 moderate right",1
86712,1
"a circumscribed
 zone",1
eval l pneumothorax,1
"small l
  pneumothorax
 reason",1
"eval l pneumothorax
 admitting diagnosis",1
86641,1
"the
 posterior right fourth and fifth ribs",1
old fracture,1
"mild left
 basilar atelectasis",1
"query pneumothorax, fluid
 overload",1
internal mammary veins,1
"pna, parapneumonic
  effusion",1
3711,1
hematology oncology,1
chronic supra-azygous svc occlusion,1
a new spiculated right middle lobe nodule,1
"an
 infectious pneumonia",1
the progression,1
the mid left renal vein,1
perihepatic veins,1
"interval
  appearance",1
"a
 coexistent infectious process",1
82678,1
"a questionable rounded
 lucency",1
apical infiltrate,1
an ng-tube,1
a lordotic film,1
granulomatous origin,1
probable right apical scarring/infiltrate,1
hilar adenopathy or mediastinal widening,1
any associated pleural effusion,1
"no
 other focal pulmonary abnormality",1
infiltrate and cavitary lesion,1
the second and third ribs,1
"apical
 lordotic view",1
"the apical
 lesion",1
"the first
 rib",1
"some ill-
 defined apical",1
two ap supine views,1
possible cavitary lesion,1
71774,1
"small, bilateral, pleural effusions",1
"previously evident small bilateral
 pleural effusions",1
"l. elevated wbc
 reason",1
possible cavitation,1
a ct evaluation,1
71686,1
"more
 concerning etiologies",1
"the
 visualized maxillary, ethmoid and sphenoid sinuses",1
the grey/white matter differentiation,1
a small left putaminal lacune,1
recent prolonged respiratory distress,1
"anoxic
  brain injury",1
difficult intubation,1
prolonged respiratory distress,1
"1:57 am
 ct",1
81257,1
normal bowel loops,1
81256,1
"no other
 hepatic abnormalities",1
the more distal biliary tree,1
"three tiny
 pockets",1
the chest ct  dictation,1
"right upper
 lobe cavitary lesion",1
"tracheal obstruction
 no contraindications",1
rul cavitary lesions,1
"staging
 field",1
"[**2127-2-4**] 1:56 am
 ct abd w&w/o c",1
"[**2118-1-9**] 3:50 pm
 chest",1
the left lower half,1
bilateral mediastinal lymphadenopathy,1
cranial mass,1
"[**2118-1-5**] 7:41 pm
 chest",1
71653,1
"interval
 pericardiocentesis",1
71614,1
the right lower lobe tumor,1
"[**2117-12-31**] 7:10 pm
 chest",1
71654,1
"no
 abnormal enhancement",1
"no focal
 signal abnormalities",1
"cranial mass
 admitting diagnosis",1
"pa, lateral, and decubitus films",1
82679,1
rapid time course,1
an important consideration,1
(septic emboli,1
"a
 differential consideration",1
"these
 nodules",1
"the radiographic
 appearance",1
"numerous
 discrete pulmonary nodules",1
the right upper lobe collapse/consolidation,1
"l. considering thoracentesis r
 reason",1
bilateral layering small effusions,1
overlying catheter,1
"increasing
 size",1
the pericardiocentesis,1
"that pericardial
 admitting diagnosis",1
"[**2118-1-1**] 3:45 am
 chest",1
the osteolytic bony,1
2.  3-cm mass,1
"probably
 pneumonia/aspiration",1
irregular area,1
"the
 thoracic vertebral body",1
the osteolytic lesions,1
osteolytic lesions,1
71723,1
"today's
 study",1
"the
 previously visualized hypodense lesion",1
stable fullness,1
"the liver, spleen, and imaged kidneys",1
"extensive mediastinal
 lymphadenopathy persists",1
"a 1.3 x 2.4 cm soft
 tissue",1
an irregular opacity,1
a new moderate right,1
lung ca s/p pericardial drain fro tamponade,1
9741,1
"[**2144-2-4**] 9:13 pm
 cta chest w&w/o c&recons, non-coronary                          clip #",1
asociated,1
"right lower lobe mass s/p lobectomy s/p
  bronch",1
63825,1
known right lower lung mass status,1
63987,1
the recent (postoperative) bronchoscopy,1
"the cardiac silhouette and
 mediastinum",1
"small
 right-sided pleural effusion",1
right lower lung mass status post vats,1
"right lower lung mass s/p right vats
 reason",1
63823,1
right thoracic lung volume,1
postoperative loss,1
two right intercostal chest drains,1
the right internal jugular central line tip,1
post-lower lobectomy,1
"final report
 portable supine chest radiograph",1
"[**2157-2-12**] 8:04 am
 chest port",1
heidiaphragm,1
63769,1
the right heidiaphragm,1
some post operative elevation,1
one tip,1
"right lower lobe mass s/p lobectomy s
 admitting diagnosis",1
"mass.

 pa",1
"pigtail catheter
 projects",1
"[**telephone/fax (1) 64182**]
 reason",1
64182,1
a ct-guided pleural drainage catheter placement,1
successful diagnostic thoracentesis,1
the requested gram stain,1
clear serous-appearing fluid,1
2 to 3 cc,1
553**] catheter,1
19-gauge,1
"rt pleural effusion
 admitting diagnosis",1
para centesis us,1
"the
 elevated right hemidiaphragm",1
"[**2157-2-24**] 3:20 pm
 guidance",1
plaes,1
63937,1
not done-plaese,1
not done-plaes,1
"[**2157-2-17**] 5:20 pm
 chest",1
mass.,1
"right-sided lung volume
 loss",1
the right-sided drain,1
two right intrathoracic drains,1
a minor linear band,1
trachea/evidence,1
64134,1
"no abnormal pleural
 enhancement",1
"increased abnormal
 mediastinal and hilar soft tissue",1
no discrete thoracic,1
a prior wedge resection,1
"no dense intramural
 hematoma",1
"pre - and post-iv
 contrast enhancement",1
"pe and/or rml consolidation/empyema
 no contraindications",1
"worsening r effusion
 reason",1
"[**2157-2-23**] 3:55 pm
 cta chest w&w/o c &recons; ct 100cc non ionic contrast          clip #",1
rml aeration,1
mild biliary dilatation,1
persistent partial right middle lobe collapse,1
probable small right basilar pleural effusion,1
63848,1
a unilateral interstitial pattern,1
the more recent radiograph,1
"superimposed
 subpulmonic pleural fluid",1
"the earliest postoperative
 radiograph",1
"a previously noted
 small right apical pneumothorax",1
64095,1
"mild
 atherosclerosis present",1
a right adrenal adenoma,1
"t
 admitting diagnosis",1
any congestion,1
"[**2157-2-11**] 5:09 pm
 chest",1
64430,1
"upper lobe patchy subsegmental atelectasis/aspiration
 pneumonitis",1
paratracheal soft tissue mediastinal widening,1
"the right
 upper abdomen",1
"likely
 atelectasis/aspiration pneumonitis",1
a new patchy opacity,1
"right lower lobe resection
 reason",1
63936,1
tiny remaining pneumothorax,1
abnormal mediastinal and hilar soft tissue,1
"the right-sided well-demarcated
 density",1
"the previously described right-sided
 internal jugular vein approach",1
"a
 similar preceding study",1
"now status post
 lobectomy",1
right-sided lower lobe mass,1
"s/p lobectomy pod#1
 reason",1
breast mass,1
"(cont)
 postsurgical changes",1
"[**2157-2-23**] 3:55 pm
 cta chest w&w/o c",1
7316,1
attempted thoracentesis,1
2144-2-4*,1
64181,1
24140,1
"larger
 standard size chest tube",1
no appreciable right-sided pneumothorax,1
"extensive right-sided lateral
 and inferior subcutaneous emphysema",1
mild persistent linear atelectasis,1
"the known right lung mass status post rf
 ablation",1
"no appreciable right-sided
 pneumothorax",1
"a standard chest
 tube",1
erect portable chest radiograph,1
"r ptx
 reason",1
"*] 6:32 am
 chest",1
24781,1
no obvious apical component,1
"increased basal
 pneumothorax",1
the bilateral subcutaneous emphysema,1
"final report
 respiratory distress",1
2080,1
1**]:55,1
64431,1
"a small or moderate-size
 right pleural effusion persists",1
pigtail pleural drain projects,1
"subcutaneous air
 admitting diagnosis",1
"semi-erect portable chest radiograph

 findings",1
probable increased subsegmental,1
"5/
 admitting diagnosis",1
an intrafissural location,1
the indwelling chest tube,1
the still persistent significant amount,1
a large inferiorly layering fluid component,1
a tiny bit,1
anterior segment,1
an apically directed right chest tube,1
the most recent dated earlier same day,1
"11:32 a.m.

 history",1
0819,1
24451,1
22509,1
markedly stable examination,1
"the large
 dependently layering right pleural effusion",1
the right suprahilar opacity,1
"marked
 stability",1
severe chest wall,1
"the most recent dated [**2200-4-19**].

 findings",1
post-chest tube removal,1
0819 hours,1
"[**2161-3-1**]:55 a.m.

 history",1
64184,1
"unchanged right-sided
 pleural effusion",1
unusul,1
approximately 15-20 cc,1
"ct
 guidance",1
a local anesthetic,1
the patient comfort,1
preprocedure chest findings,1
insert chest tube,1
a comparison exam,1
"culture
 no contraindications",1
"[**2157-2-25**] 11:36 am
 ct chest w/o contrast",1
63988,1
"the
 right pleural space",1
"presumed right middle lobe
 collapse",1
unusul postoperative appearance,1
presumed collapse,1
the dictation,1
4pm tx,1
"right lower lobe mass s/p lobectomy s/p bronch
 reason",1
63849,1
prominent right lung interstitial pattern,1
"] 8:41 am
 chest",1
the type,1
15-20 cc,1
"] moderate right sided
 pleural effusion",1
p pigtail,1
"[**2157-2-27**].

 portable ap chest radiograph",1
"right
 thoracentesis",1
right lower lobe mass s/p lobectomy s/p    bronch,1
"[**2157-2-28**] 8:06 am
 chest",1
63770,1
patient's known right infrahilar mass,1
the previously identified pigtail catheter,1
known right lower lung mass,1
"two views

 indication",1
"[**2157-3-1**] 3:26 pm
 chest",1
64183,1
2075,1
64136,1
"postoperative
 pleural effusion",1
8:26 a.m.,1
"effusion
 ______________________________________________________________________________
                                 final report
 ap chest",1
"right lower lobe mass s/p lobectomy s/p
  bronch
 reason",1
"*] 7:38 am
 chest",1
maximize,1
22218,1
right lower lobe mass resection,1
63824,1
the right jugular cv line,1
"an equivocal tiny
 right apical pneumothorax",1
the edematous segments,1
"no extraluminal air or fluid
 collection",1
(2a:45,1
"a smaller segmental
 thickening",1
"the abnormal
 segment",1
multiple focal outpouchings,1
"the newly
 superiorly rotated segment",1
eccentric marked wall thickening,1
"segmental
 areas",1
the inferior liver edge,1
worrisome renal masses,1
an 8-mm hypodense lesion,1
oral contrast material,1
new heartburn,1
few dilated loops,1
"small
 phleboliths",1
few calcifications,1
"a few dilated small
 loops",1
possible infectious colitis,1
"[**2144-1-29**] 4:53 pm
 abdomen",1
1359,1
"mild inflammatory
 stranding",1
particular concern,1
the configurational appearance,1
elevated and rotated cecum,1
this neutropenic patient,1
particularly typhlitis,1
"an alternative
 etiology",1
"no portal
 venous gas",1
underlying vascular disease,1
"the abnormal
 configuration",1
the involved segment,1
new segmental wall thickening,1
"prior imaging, configurational
 change",1
fat density lesion,1
"(cont)
 volvulus",1
a few locules,1
"fluid
 density material",1
the common iliac vein,1
bilateral common iliac artery aneurysmal dilation,1
the major aortic branches,1
"a moderate-to-large
 amount",1
"an infrarenal
 aortic aneurysm",1
no portal or mesenteric venous air,1
the mesenteric arteries,1
"1358**],[**initials",1
"*]  4:53 pm
 abdomen",1
bowel and air-fluid levels,1
"a nodular opacity
 measures",1
11:08 p.m.,1
h.o.esophageal and non-small cell lung ca p/w seizures,1
"no right
 heart",1
the vessel suggesting subacute time course,1
"a more
 peripheral locale",1
a blood vessel,1
nonocclusive embolus,1
multifocal subsegmental pulmonary emboli,1
"**] 9:13 pm
 cta chest w&w/o c&recons",1
in the peripheral left upper lobe,1
"bilateral central
 venous lines",1
8 x 10 mm,1
"a left subclavian
 catheter",1
"no pulmonary
 infarcts",1
"a larger, peripherally based nonocclusive
 filling defect",1
"subsegmental filling
 defect indicating subsegmental pulmonary emboli",1
segmental pulmonary arterial branches,1
"multiple, non-occlusive filling defects",1
medical management,1
"right
  upper lobe",1
"mild interstitial
 abnormality",1
the mid and low svc,1
"the left
 lateral decubitus position demonstrate dilated loops",1
"two hypodense
 lesions",1
"[**2144-2-6**] 11:15 am
 abdomen",1
coefficients,1
75338,1
no additional large masses,1
two 6-mm lesions,1
"the
 cavernous carotids",1
the right orbit,1
"a superficial 7-mm soft tissue
 density",1
attenuation coefficients,1
"the left cerebellar
  hemisphere",1
good evidence,1
"other acute intracranial
  process",1
new large masses,1
"metastatic dz
 no contraindications",1
"metastatic dz
 reason",1
"metastatic dz
 _",1
"[**2144-1-27**] 10:05 am
 ct head w/o contrast                                            clip #",1
"9:13 pm
 cta chest w&w/o c&recons",1
h.o.esophageal,1
75455,1
diffuse distention,1
lactate level,1
close monitoring/surgical consult,1
64133,1
"blood
 pressure",1
likely postoperative changes,1
64024,1
possible right middle lobe atelectasis,1
"4:58 p.m.

 findings",1
right lower lobe mass sp lobectomy,1
63913,1
persistent right effusion,1
"the right
 ij catheter",1
the right border,1
"persistent
 opacity",1
"the
 right heart border corresponds",1
the inferior right hemithorax,1
p lo,1
coagulated,1
72129,1
"possible
 associated small effusion",1
"the left
 and small area",1
"persistent virtual total
 opacity",1
the past 2 days,1
the immediate postoperative film,1
"the immediate postoperative
 film",1
75645,1
a right-sided effusion,1
"r ct
 ______________________________________________________________________________
                                 final report
 chest",1
"right side- r ct
 admitting diagnosis",1
"6:08 pm
 chest",1
63914,1
"a tiny right
 basilar pneumothorax",1
a tiny right pneumothorax,1
64371,1
right thoracic pigtail catheter,1
"no
 left-sided effusion",1
