pretty_name,cui,frequency,average_acc
Vascular Narrowing,C0679403,1,0.8161332359216694
Unstable Condition,C0443343,1,0.7562882126358885
Bronchopulmonary Fistulas,C0741802,12,1.0
Circumflex,C1880089,3,1.0
Zosyn,C0250482,1,1.0
Endobronchial Stent Placement,C4528581,3,1.0
Exterior,C4698034,2,1.0
Consequent,C3845876,1,1.0
Decreased Oral Intake,C1504561,3,1.0
Activities Seizures,C1148454,7,1.0
Left Pulmonary Artery Branch,C1282009,1,1.0
Multiple Benign Circumferential Skin Creases On Limbs,C0473586,1,1.0
Malignant Hodgkin S Lymphoma,C0019829,3,1.0
Ablation Radiosurgical,C0085203,1,1.0
Parasitemias,C0242723,2,1.0
Infusion Procedures,C0574032,1,0.772044316093651
Abnormal Blushing,C0848446,1,1.0
Atherosclerotic Ulcers,C2063691,7,1.0
Anatomic Variant,C1254472,2,1.0
Urinary Retention Ctcae,C1558141,3,1.0
Mantle,C3846131,1,1.0
Outcome Of Therapy,C1518681,1,0.7719859405729831
Cauda Equina Syndrome,C0392548,8,1.0
Vertebral Endplate Irregularities,C1842153,1,1.0
Second Lumbar Spinal Nerve,C0501594,1,1.0
Fourth Lumbar Spinal Nerve,C0501792,3,1.0
Left Anterior Descending Septal Perforator Artery,C3640689,1,1.0
Intramural Plaque,C4528301,1,1.0
Complete Airway Obstruction,C2106667,1,1.0
Calcified Lung Nodule,C5442224,2,1.0
Intermittent Shortness Of Breath,C0748646,1,1.0
Mils,C0872216,1,1.0
Clumping,C0205387,1,1.0
Arm Injection,C1293234,1,1.0
Vascular System Disorders Obstruction Superior Vena Cava,C1336532,1,1.0
Relieved Qualifier Value,C1301771,2,1.0
Indexes As Topic,C0918012,6,0.874000635518375
Pain In Calf,C0236040,3,1.0
Ct Protocol,C0056574,1,1.0
Malignant Epithelial Neoplasm Of Brain,C3163932,1,1.0
Brained Right,C0815007,1,0.7742988292951779
Brain Cells,C0596208,3,1.0
Decreased Strength Of Facial Muscles,C0427055,7,0.9104307520765798
Bronchopulmonary Segment Of Bronchial Tree,C1180564,1,1.0
How Much Bothered By Arm Weakness In Affected Arm,C4724557,10,1.0
Structure Of Parietal Lobe Gyrus,C0228209,2,1.0
Gray Matter Of Left Parietal Lobe,C2327679,1,1.0
Intracranial Injury,C0347535,2,1.0
Left Atrial Mass,C0745673,3,1.0
Elicited By,C0449265,8,1.0
Thromboembolic,C0333214,8,1.0
Fuzzy Head,C0541974,1,1.0
Testicular,C0205070,4,1.0
Ultrasound Of The Scrotum,C0845888,4,1.0
Bronchial Stent Occlusion,C4087352,2,1.0
Mass Of Heart,C3670832,1,1.0
Left Postcentral Gyrus,C2329204,2,1.0
Cables Leads Electroencephalography,C1457929,1,1.0
Minimal To Mild,C3686831,2,1.0
Structure Of Postcentral Gyrus,C0152302,2,1.0
Hydroureteronephrosis,C0268804,1,1.0
Oxygen Supply Tubing,C0727365,1,1.0
Metastatic Squamous Cell Carcinoma,C0334246,5,1.0
Pulmonary Ischemia,C0920711,1,1.0
History Of Carcinoma,C0559146,1,1.0
Bilateral Extrarenal Pelvis,C3495914,1,1.0
A Recent Injection,C2169572,1,1.0
Physician S Assistants,C0031833,2,0.995
Acute Inflammation Of Nasal Sinus,C0149512,6,1.0
Magnetic Resonance Imaging Mri Of Chest,C0202826,4,1.0
Narrowing Of An Artery,C0038449,2,1.0
Atrophy Of Kidney,C0341698,2,1.0
Abdomen Kidney . Left,C4266649,1,1.0
Peripelvic Cyst In The Right Kidney,C2053636,1,1.0
Abdomen Renal Artery . Left,C4266640,1,1.0
Bilateral Kidney Degeneration,C4022835,1,1.0
Aortic Valve Stenosis,C0003507,1,0.8260733391348107
High Intensity,C4081854,1,1.0
Bp Blood Pressure,C0005823,1,1.0
Advocate Person,C1510823,1,1.0
Three Dimensional Magnetization Prepared Rapid Gradient Echo Imaging,C4331410,1,1.0
History Of Neutropaenia,C4040114,1,1.0
Lingular Pneumonia,C1960024,1,1.0
Chronic Hypertension,C0745114,1,1.0
Malignant Lymphoma B Cell Type,C0079731,3,1.0
Segmental Bronchus Of Left Lower Lobe,C0823543,2,1.0
Hypersensitivity Reaction,C0020517,2,1.0
Bone Infarction,C0877326,3,1.0
Viral Pneumonia,C0032310,1,1.0
Sterility Reproductive,C4074771,3,1.0
Incomplete Resection,C4330937,6,0.9183210406442259
Structure Of Half Of Thoracic Cavity Lateral To Midsagittal Plane,C0933795,1,1.0
Pureed,C5571047,2,1.0
Post Surgical Complication,C5236018,1,1.0
Disease Related,C4697687,1,1.0
Out Of Range,C3845292,1,1.0
Cannula Placement,C4727853,2,1.0
Myocardial Infarctions Diaphragmatic,C0340305,30,1.0
Skew Deviation,C0271381,2,1.0
Less Than 50 000,C3840655,1,1.0
Moderate Cerebral Atrophy,C4313070,2,1.0
Incremental,C1705117,2,1.0
Traumatic Infarct Morphologic Abnormality,C3266049,2,1.0
Oedema Of Spinal Cord,C0270777,1,1.0
Olisthesis,C5545315,3,1.0
Compounding,C0205198,1,1.0
Existing Catheter,C4318722,5,1.0
Respiratory Status : Finding : Point In Time : Patient : Nominal,C2598485,6,1.0
Blue Codes,C0150518,4,1.0
Goes Invertebrate,C1947959,5,1.0
Posterior Longitudinal Ligament Structure,C0206330,1,0.870649489064646
Fourth Rib Fracture,C0920005,3,1.0
Fracture Of Odontoid Process,C0559777,3,1.0
C1 Fracture,C5453020,1,1.0
Small Endplate,C4014026,1,1.0
Rad Radiation Absorbed Dose,C0556643,4,1.0
Biopsy Nodule,C0741505,4,1.0
Cannulae Nasal,C0179574,1,1.0
Maximum Systolic Blood Pressure,C1282150,1,1.0
Diastolic Arterial Pulse Pressure,C0428883,1,0.8975379831116469
Radiology . Attending,C4298923,2,1.0
Search Action,C1706202,1,1.0
Partial Laminectomy,C0442934,3,1.0
Bolus Infusion Procedure,C1511237,1,0.8498220332015609
Orally,C0442027,8,0.9643250490685201
Posterior One Third Of Tongue,C0226958,3,1.0
Piecemeal Deglutition,C4062829,1,1.0
Oral Residue Following Swallowing,C4288552,4,1.0
Oropharyngeal Dysphagia,C0267071,7,0.992857142857143
Production Sputum,C0242104,7,1.0
Does Move Head,C0562007,1,1.0
Presumed,C4684849,3,1.0
Bed Status,C1550394,1,1.0
Prn Schedule Frequency,C1879745,2,0.995
Pancoast Tumor Resection,C0747171,5,1.0
Complication Of Blood Transfusion,C0274435,1,1.0
Neoplasm Of The Pleura,C0032229,6,1.0
Megastes,C3283971,1,1.0
Acute Cardiogenic Pulmonary Oedema,C0398350,2,1.0
Cardiac Transvenous Pacemaker Device,C0336574,8,1.0
Battery Pack,C3872753,1,1.0
Subjective Fever,C0743979,1,1.0
Left Iliacus Muscle,C0815699,3,1.0
Pulmonary Radiation Alveolitis,C0206063,10,0.8558619814402126
Acute Hypotension,C0745176,6,1.0
Infraclavicular Region Structure,C0230108,3,1.0
Swallow Evaluation,C1711246,5,1.0
Omitting,C0750563,1,1.0
Tissue Lysis,C0024348,1,1.0
Abscess Of Liver,C0023885,1,1.0
Slightly Difficult,C3843356,1,1.0
Diagnostic Imaging,C0011923,2,0.7550049965873735
Structure Of Artery Of Abdomen,C0559365,3,0.9492642577968339
Thrombosis Of Inferior Vena Cava,C0549289,1,1.0
Congest,C0700150,1,1.0
Electrocardiogram : Ventricular Rate,C2189285,1,1.0
No Shortness Of Breath,C4054349,1,1.0
Structure Of Axillary Soft Tissues,C0230336,1,1.0
Limited Ct Scan,C4028811,1,1.0
High Blood Pressure Medicines,C0003364,1,0.773126229677352
4 Days Ago,C5570859,4,1.0
Radiation Cyberknife,C1300683,2,0.7548817086175232
Cell Cycle Regulator Of Nonhomologous End Joining,C1824234,4,0.846998423196589
Anterosuperior,C1179849,2,1.0
Obliques,C0205315,2,0.8834989017205911
Spinal Cord Lesions,C0241224,7,1.0
Adenocarcinoma Of Lung Disorder,C0152013,9,1.0
Spinal Cord Involvement,C0748903,4,1.0
Edema Increasing,C0743393,6,1.0
Thrombus Formation,C4717432,2,1.0
Hydrocephalus With Atresia Of Foramina Of Magendie Luschka,C0010964,1,1.0
Prominent Lateral Ventricles,C5394432,1,1.0
Metastatic Malignant Neoplasm In The Spinal Cord,C0347016,5,1.0
Informative,C2986490,1,1.0
Spinal Nerve Root And Spinal Cord,C0546042,1,1.0
Third Lumbar Spinal Nerve,C0501791,1,1.0
Varicocid,C0078051,2,1.0
Anterior Spinal Nerve Root Structure,C0205956,1,1.0
Perirectal,C1550291,3,1.0
Slow Growth Rate,C4086857,2,1.0
Ns Neck Stiffness,C0151315,1,1.0
Guards,C3687617,2,1.0
In The Last Month,C4331910,3,1.0
History Of Gastrectomy,C1998046,1,1.0
B2 Billroth Ii Partial Gastrectomy,C0192444,1,1.0
I Little N Super Little B,C2737063,1,1.0
Standard Chest X Ray Normal,C0239026,1,1.0
Ct Guided Thoracentesis,C4040661,3,1.0
Transudative,C0311436,1,1.0
Symptomatic Relief,C3242309,1,1.0
Pink Tinged,C4699303,1,1.0
Within Last 24 Hours,C3897986,5,1.0
Risk For Bleeding,C3251812,4,1.0
Chemoradiation Therapy,C3468348,2,1.0
Process The Religious Affiliation,C1578672,1,1.0
Near To,C1706276,3,1.0
Pulmonary Interstitial Thickening,C5539772,1,1.0
Planning Treatment,C0599880,1,0.7722313063612383
Metastatic Malignant Neoplasm To Kidney,C0153685,3,1.0
Interlobular Artery,C1512856,1,1.0
Procedure Table,C1550373,1,0.7598492339492442
Study Site Dissolved,C4331352,1,1.0
Vascular Bed,C0598051,1,1.0
Cp Chronic Pancreatitis,C0149521,8,1.0
Splayed,C4086866,7,1.0
Augmentation Of Vocal Cords,C0189254,3,1.0
Intratracheal Anesthesias,C0002919,1,1.0
Epidermal Growth Factor Receptor Protein Tyrosine Kinase,C3812393,2,1.0
Cessation Of Life,C0011065,1,0.99
6 Fr,C4068970,1,1.0
Removable,C1882925,1,1.0
Left Adnexa,C0237018,2,1.0
Dilated Pancreatic Ducts,C4315741,2,1.0
Embolus Lower Extremity,C0151618,1,1.0
Melanoma Staging,C0280209,1,1.0
Lesion With High Radiographic Density,C1268672,2,1.0
Cellulitis On Exam Physical Finding,C2025995,1,0.7770661244856079
Cl Cirrhosis Of Liver,C0023890,3,1.0
Aortic Annulus Calcification,C5539666,1,1.0
Cystic Hygroma Of The Neck,C0206620,2,1.0
Liver Function Failure,C0085605,10,1.0
Adenomyomatosis Of Gallbladder,C1608415,2,1.0
Appearance Of Liver,C1285891,2,1.0
International Unit Of Biological Activity,C0439453,2,0.8619277789933634
Decreased Albumin,C0860864,1,1.0
Methicillin Resistant Pneumonia Due To Staphylococcus Aureus,C1142536,8,1.0
Normal Gallbladder,C0577075,1,1.0
Central Venous Line In The Right Internal Jugular Vein,C2202213,1,1.0
Cancer Resection,C0741886,2,1.0
Lateral Oblique,C0442295,2,0.9383812984091511
Structure Of Head Of Metatarsal Bone,C0825675,2,1.0
Bone Structure Of Proximal Phalanx,C3669035,9,0.99
Marginal Osteophytes,C3698318,1,1.0
Plantar Calcaneal Spur,C2081646,1,1.0
Rigidity Of 1St Mtp Joint,C0264134,1,1.0
Biventricular Pacemakers,C1719274,1,1.0
Adverse Effect Due To Surgery,C0221082,1,1.0
Ct Of Chest Without Contrast,C2041475,3,1.0
Patient Reasons,C3841428,1,1.0
Chest Wall Closure,C1293773,1,1.0
Sternal Dehiscence,C1536143,1,1.0
Antimicrobial Resistant Organism Organism,C1444089,1,1.0
Hydronephrotic,C4697725,1,1.0
Erlotinib 150 Mg,C1628394,3,1.0
Greater Than Seventy Five Percent,C5237175,1,1.0
Bone Fragments,C3698366,1,1.0
Held Inspiration Physiologic Challenge Procedure,C1293904,1,1.0
Mildly Thick,C5571053,1,1.0
Does Not Conform,C4524984,1,1.0
Pneumonia Presumed,C0747694,1,1.0
Neoadjuvant Chemoradiation Treatments,C5392215,1,1.0
Day 4,C3840892,4,1.0
Separating,C0443299,6,0.8913002009969956
Augmented,C0205217,4,0.8821190123630068
Lopressor,C0700776,2,1.0
Agitated Behaviour,C0085631,6,1.0
Tuberculosis Cicatrix,C1411919,1,1.0
Granulation Of Tissue,C3806379,5,0.99
Plural Effusion,C4012196,7,1.0
History Of Colostomy,C0455662,1,1.0
Left Lower Quadrant Pain,C0238551,1,1.0
Diverticulitis Perforated,C0544794,5,1.0
Acs Acute Coronary Syndrome,C0948089,15,1.0
Disorder Of Vein Obstruction,C0948441,3,0.8234789720878689
Thoracic Midline,C3841483,2,1.0
Thoracic Back Pain,C0423684,1,1.0
Shotty Lymph Node,C4076726,1,1.0
Intra Operative,C0456904,2,1.0
Pulmonary Compliance,C4054143,1,0.808647878185023
Family History Of Myocardial Infarction,C5238701,2,0.8327140276976911
Of Skin Surface,C1180212,6,1.0
Disaffection,C0680237,1,1.0
2Nd Intercostal Space,C4068811,1,1.0
3Rd Intercostal Space,C4068810,1,1.0
Broncho Pleural,C0545668,6,1.0
Diaphragmatic Displacement,C2062836,1,1.0
Discount,C1555671,1,1.0
Unspecified Acute Lower Respiratory Infection,C0238990,1,1.0
Progression Of Non Small Cell Lung Cancer,C1737250,1,1.0
Airway Compromise,C4055482,3,1.0
Precentral Motor Cortices,C3495441,5,0.9572530796863855
History Of Undescended Testis,C4041207,1,1.0
Specify Site Of Other New Tumor Event,C5204538,1,1.0
Reconstruction Of Artery,C2937236,1,1.0
Meniscus Structure Of Joint,C0224498,2,0.9729935818618459
Prior Patient Evaluation For Current Chief Complaint,C5238849,1,1.0
Dense Material,C3546235,7,1.0
Intimal Sarcoma Of The Pulmonary Artery,C4684845,5,1.0
New Onset Seizures,C0748604,4,1.0
Prevalent,C5204628,1,1.0
Whole Blood Or Product Procurement,C4524538,2,1.0
Insertion Of A Foley Catheter,C0850050,1,1.0
Vertebral Body Haemangioma,C3495935,1,1.0
Shoulder Joints Artificial,C1961833,6,1.0
Hesitancy Of Micturition,C0152032,5,1.0
Intradural Route Of Administration,C1512939,6,1.0
Tobacco Abuse,C0040336,1,1.0
Moderate To Marked,C3686768,2,1.0
Microhemorrhages,C0859253,1,1.0
Product Related Impurity,C5447449,1,1.0
Precedex,C0876757,1,1.0
Unique,C1710548,1,1.0
Haemodynamically Stable,C0578150,4,1.0
Equivalent Unit,C0205163,1,1.0
Somatic Motor Areas,C0026607,4,1.0
Labeling Spin,C0037914,2,1.0
Opercular Region,C3499356,1,1.0
White Fiber,C1520138,1,1.0
Left Primary Motor Cortex,C2324518,1,1.0
Deficiency Vascular,C1394931,1,1.0
Superior Intercostal Vein,C1515066,1,1.0
Extranodal Tumor Deposits,C5197703,2,1.0
Metastatic Malignant Neoplasm In The Neck,C0684817,2,1.0
Upper Aerodigestive Tract Structure,C1267213,1,1.0
Ostiomeatal Complex,C5420706,2,1.0
Tonic Clonic Convulsion,C0494475,6,1.0
Head Finding,C1320354,1,1.0
Left Sided Abdominal Pain,C0563276,1,1.0
Huntingtin Interacting Protein 1 Human,C0121811,1,0.7556587299802644
Kidney Lesion,C1402288,5,1.0
Renal Cyst Benign,C0748279,3,1.0
Administrative Information Regarding Test Age Of Patient,C4698447,1,1.0
Structure Of Distal Region Of Tail,C3686675,1,1.0
Not Needed Qualifier Value,C1444650,3,1.0
Original Report,C2919603,4,1.0
Right Hip Region Structure,C0524470,5,1.0
Vessel Biventricular Override,C5447268,3,1.0
Hemi Arthroplasties,C0744743,1,1.0
Merit,C5142938,1,1.0
Resection Of Small Intestine,C0192601,5,1.0
Day 5,C3842674,2,1.0
Brbpr Bright Red Blood Per Rectum,C0018932,1,1.0
Inflammation Perirectal,C1408635,1,1.0
Nephrectomy Of Right Kidney Treatment,C2222799,2,1.0
Pd Peritoneal Dialysis,C0031139,2,1.0
Crao Central Retinal Artery Occlusion,C0007688,2,1.0
Stroke Like Symptoms,C3275427,1,1.0
High Grade Lesion,C1334016,1,1.0
Disorder Of Carotid Artery,C0007273,1,1.0
Arterial Occlusion Vertebral Artery Right,C4536446,1,1.0
Frothy,C4069284,6,1.0
Fifth Rib Fracture,C0920252,1,1.0
Concealing,C0443189,2,1.0
Mailing,C0024492,2,0.9341984881041099
Lymphoid Tissue,C0024296,1,1.0
Endobronchial Ultrasound Transbronchial Needle Aspiration,C1883418,1,1.0
Middle Region Of Body,C3669046,2,1.0
Cardiac Catheterization Placement Of Stent 1,C2008415,1,1.0
Funnels,C3503950,1,1.0
Rostral Body Of The Corpus Callosum,C3499010,2,1.0
Employ,C0457083,2,1.0
Infraglottic,C0521351,2,1.0
Cancer Metastatic Thyroid,C1096666,1,1.0
Stage Iv Epidermoid Cell Carcinoma Of The Lung,C4721661,1,1.0
Fat Embolism As Early Complication Of Trauma Disorder,C1533618,1,0.8678685791539074
Increased Long Bone Fracture Rate,C0240231,1,1.0
Laminar Hooks,C5453098,1,1.0
Entire Body Of Fourth Thoracic Vertebra,C1305594,4,1.0
Hospital . Reporting,C0806434,1,1.0
Image Acquisition,C1708464,3,1.0
Enlargement Of Spleen,C0038002,1,1.0
Elevated Fibrin Degradation Fragment Concentration,C0742969,2,1.0
Unspecified Injury Of Kidney,C0160420,1,1.0
Megacara,C4158589,1,1.0
History Of Neoplasm,C0559147,3,1.0
Vascular Stents,C0183521,6,1.0
Known Allergy,C3845888,1,1.0
Renal Obstruction,C0748324,1,1.0
Branch Of Left Bronchial Arterial Tree,C0824079,1,1.0
Swelling Question,C5420287,2,1.0
Nursing Care : Nasogastric Tube Removal,C2224149,1,1.0
Systems Extrahepatic Biliary,C0206187,2,1.0
Inferomedial,C1179867,1,1.0
3 Or 4,C3843801,1,1.0
Reduced Services,C0520252,4,1.0
General Feeling Of Illness,C0231218,2,0.8477534854813472
Neoplasm Of The Cerebral Hemispheres,C1263885,1,1.0
Previously Well,C2114533,1,1.0
Niddm Non Insulin Dependent Diabetes Mellitus,C0011860,1,0.8010567819107208
More Than 50,C3842480,3,1.0
Set Of Extrinsic Muscles Of Eyeball,C0028863,1,1.0
Structural Abnormality Of The Chest Wall,C4021797,1,1.0
Examination Questions,C0600648,1,1.0
Tractography,C5572600,6,1.0
Tractus Corticospinalis,C0936236,2,1.0
Pneumocysts Cranial,C0032268,1,0.7538093839835445
Radiolucency,C2827491,2,1.0
Pneumothorax Tension Pneumothorax,C1405280,2,1.0
Pressure Pneumothorax,C0264558,3,1.0
Stage Iiia Non Small Cell Carcinoma Of The Lung,C0278983,1,1.0
Chronic Cholecystitis,C0085694,3,1.0
Biliary Drains,C0489793,3,1.0
Acute And Chronic Cholecystitis,C0302472,1,1.0
Splenomegaly Massive,C0241231,1,1.0
Fatty Infiltration Of The Pancreas,C2748738,1,1.0
Surgical Consultation,C5442589,1,1.0
Increased Thickness,C0205400,3,1.0
Bag Device,C0179196,2,0.8486190695495479
Gastric Emptyings,C0017127,9,1.0
Early Satiety,C0239233,2,1.0
Egg Whites Dietary,C0013704,2,1.0
Skeletal Deformity,C0241052,1,1.0
Dilated Intrahepatic Bile Ducts,C2748699,1,1.0
Acetals,C0000967,3,1.0
Perch Chv Concept,C2945839,3,1.0
First Thoracic Spinal Nerve,C0501486,1,1.0
Computed Tomography Of Thoracic Spine,C0412651,4,1.0
Entire Anterior Portion Of Diaphragmatic Aspect Of Liver,C0458924,1,1.0
Central Respiratory Failure,C3806299,24,1.0
Therapeutic Thoracentesis,C0843887,2,1.0
Faecal Loading,C4524148,1,1.0
Esophagus And Stomach,C0391896,1,0.9423070873410858
Segmental Excision Of Colon,C0149750,2,1.0
Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,C0041893,2,1.0
Enlargement Of Iliac Lymph Node,C1264125,1,1.0
Tenth Rib Fracture,C0920009,2,1.0
Cancer Anaemia,C1536115,2,1.0
Contraction Finding,C1140999,7,1.0
Small Intestine Ileum,C0020885,3,1.0
Through Ileal Conduit,C4700019,1,1.0
Disease Or Disorder Liver Cystic Congenital,C1394462,3,1.0
Entire Lower Abdominal Quadrant Body Structure,C1280048,1,1.0
Renal Fossa,C4684522,2,1.0
Prostatovesiculectomy,C0194810,1,1.0
Urinary Conduit,C1276374,1,1.0
Aneurysm Of Thoracic Aorta,C0162872,1,1.0
Intermediate Segment Of Free Upper Limb,C0016536,2,0.8426435192818463
Distal Fractures Radius,C0748233,2,1.0
Fiberglass Cast Device Physical Object,C0079348,2,1.0
Compressed Fractures,C0332714,1,1.0
Tissue Used For Augmentation,C0449904,1,1.0
Trochanteric Femoral Fracture,C2363779,1,1.0
Fastening Physical Object,C0453981,1,1.0
Conray 30,C0719485,2,1.0
Epidural Infusions,C0841785,1,1.0
Left Corona Radiata,C4244752,1,1.0
Anomalies Of Pupillary Function Mydriasis,C0026961,1,1.0
Computed Tomography Guided Core Biopsy,C4733456,8,1.0
Skin And Subcutaneous Tissue Structure,C0870032,1,1.0
Central Deficits Nervous System,C0521654,2,1.0
Postcontrast,C1711375,9,1.0
Very Active,C5570828,1,1.0
Invasive Infections,C5436123,1,1.0
Lobar Bronchus Structure,C0225653,2,1.0
Structure Of Lobe Of Right Lung,C1285106,1,1.0
Systemic Arterial Circulatory System,C0836183,1,1.0
Rather,C4698491,1,1.0
Structure Of Small Artery,C0226001,1,1.0
Convergence Action,C2700387,1,0.8398266677147356
Surgical Forceps,C0038916,1,1.0
Wedge Resection Of Lung,C0396568,2,1.0
Central Artery,C1516384,1,1.0
Perihilar Pneumonia,C0747482,1,1.0
Revision Reason,C2985866,1,1.0
Sixth Rib Fracture,C0920006,4,1.0
Ventricular Mass,C0750190,4,1.0
Swelling Of Scalp,C2219601,1,1.0
Slow To Focus,C0423046,1,1.0
Surgical Finding,C5236164,3,1.0
Mandibular Right Central Incisor Mesial Prosthesis,C1553609,4,1.0
Supraclavicular Lymph Node Enlargement,C0241306,1,1.0
Surgical Fixation Devices,C1721086,1,1.0
Obstructive Atelectasis,C0264498,1,1.0
State Of Obstruction,C0544453,1,1.0
Pulmonary Involvement,C0748159,2,1.0
Nasogastric Intubation For Enteral Infusion Of Concentrated Nutritional Substances,C0192456,6,0.9661895800343993
Cauterization Procedure,C0007471,1,1.0
Covered By,C1555028,1,1.0
Left Internal Capsule,C2339807,1,1.0
Lesions In The White Matter,C2752009,1,0.8046259632502227
Transthoracic Lung Biopsy,C0860957,1,1.0
Osteosclerotic Lesion,C1518640,2,1.0
Vomiting Question,C5420295,1,1.0
Dilation Of Third Ventricle,C5563720,1,1.0
Ambien,C0487782,1,1.0
Right Ethmoid Sinus Structure,C0225469,1,1.0
Patient Physiological Condition,C0683521,1,1.0
Spinal Stabilization,C5452887,2,1.0
Dental Cement Dosage Form,C1706094,6,0.9550880697501752
Facet Screws,C5453097,2,1.0
Procedure Started Context Dependent Category,C1273560,1,1.0
Vertebroplasty Procedure,C1303192,2,1.0
100 Minutes,C5452767,1,1.0
Structure Of Radial Artery,C0162857,1,0.7813960183552477
Structure Of Anatomic Arteriovenous Anastomosis,C0225984,1,0.99
Wavy,C5447272,1,1.0
Ventilators Noninvasive Positive Pressure,C1458061,1,1.0
Donor Graft,C0730393,1,1.0
Dependence On Dialysis Due To End Stage Renal Disease,C1997375,2,1.0
Of Substance Abuse,C0687130,2,1.0
Breaths : Number Count Time : Point In Time : Respiratory System : Quantitative,C0489258,4,1.0
Psa Level Less Than Five,C4084795,1,1.0
Spondylolisthesis Grade 1,C0264180,3,1.0
Bilateral Inguinal Hernia,C0267672,1,1.0
Intrathoracic Stomach,C2673583,3,1.0
Wait,C1610166,2,1.0
Entire Back Body Structure,C3472551,2,1.0
Pleuritic Chest Pain,C0008033,3,0.827826527682773
Prefix,C1550720,1,1.0
Dos Diffuse Oesophageal Spasm,C0014863,3,1.0
Colla Invertebrate,C2621750,2,1.0
Mitral Valve Prostheses,C0182494,1,0.7628208677632443
Aorta . Thoracic . Ascending,C0003956,5,0.7999709990105588
Cyst Wall,C3821167,1,1.0
Right Piriform Recess,C0926851,1,1.0
Tomography Spiral Computer Assisted,C0860888,2,0.7619201237883337
Ellipse Shape,C1947977,5,1.0
Partial Lobectomy Of Lung,C0337341,3,1.0
No Significant Change Since Previous Mammogram Finding,C1268651,1,1.0
Wernicke S Superior Hemorrhagic Polioencephalitis,C0043121,1,1.0
Progressive Encephalomyelitis With Rigidity,C1861457,1,1.0
Mr Angiogram,C4267682,9,1.0
Unilateral Right,C1623716,2,1.0
Antihyperglycemic Agents,C0020616,2,1.0
History Of Pleural Effusion,C3839413,2,1.0
Oedema Of Elbow,C0522038,2,1.0
Structure Of Subregion Of Abdomen,C1720043,1,1.0
History Of Pulmonary Embolus,C0455537,1,1.0
Pulmonary Ventilation Perfusion Scans,C0560738,1,1.0
No Significant Findings,C3694175,2,1.0
Changes Tubing,C2945733,5,1.0
Abdominal Computed Tomography Liver,C0412621,9,0.9911111111111113
Fine Needle Aspiration Biopsy Procedures,C1510483,5,1.0
Participation,C0679823,1,1.0
Recurrent Intrapulmonary Haemorrhage,C3805919,1,1.0
Right Primary Motor Cortex,C2336541,1,1.0
Lorazepam 1 Mg,C0987272,1,1.0
Subpleural Interstitial Thickening,C4476638,1,1.0
Chest Subcutaneous Emphysema,C0239002,1,1.0
Necrosis Of Intestine,C2243080,1,1.0
Structure Of Left Colic Flexure,C0227387,3,0.7897528630070152
History Of Alcohol Abuse,C0221628,2,1.0
Decompensated Liver Disease Disorder,C4075847,1,1.0
Hepatic Nodules,C0745761,5,1.0
Ih Infectious Hepatitis,C0019159,1,1.0
Aa Alcohol Abuse,C0085762,1,0.99
Breathing Distress Question,C4084858,1,0.7913083224885183
Neoplasm Of The Endocrine System,C0014132,2,1.0
No Malignancy,C3842363,1,1.0
Injury To Blood Vessels Of Unspecified Site,C0178324,2,1.0
Thoracic Or Lumbar Spine,C5452841,4,1.0
Injection Of Thrombin,C4545628,1,1.0
Biopsy Of Liver Procedure,C0193388,3,1.0
Stigmata Of Chronic Liver Disease,C2826616,1,1.0
Imaging Of Liver,C2711860,3,0.8662621465889107
Luss Ultrasound Scan Of Liver,C0412534,2,0.7895599811748195
Economic Burden Of Disease,C0162698,1,1.0
Dedicated Small Bowel Series Ugi Sb Follow Through,C2010622,4,1.0
Non Displaced,C0746928,2,1.0
Have You Experienced Tenderness,C3829765,1,1.0
Structure Of Infratemporal Fossa,C0230011,1,1.0
Magnetic Resonance Imaging Center,C1708834,1,1.0
Liver Normal,C0577059,2,1.0
Increased Serum Alkaline Phosphatase,C1314665,1,1.0
Pulmonary Decompensation,C0748117,1,1.0
Pulmonary Lobectomy,C0189497,1,1.0
End Stage Copd,C4087491,4,1.0
Negative Lymph Node,C0678034,2,0.8301172476586678
Interventional Computed Tomography Service,C2183253,1,1.0
Pneumovax,C0071315,3,1.0
Cubic Centimeter Of Water,C2698229,2,1.0
Monitor Patient S Vital Signs,C0811671,1,1.0
Mitral Annulus Calcification,C0746592,2,1.0
Learning,C0023185,1,1.0
Unequal Skull Shape,C0424690,1,1.0
Endoluminal Grafts,C1322796,1,1.0
Embedding,C1707903,2,1.0
Abdominal Aortic Dissection,C5539505,1,1.0
Anaerobic Blood Culture,C1441498,1,1.0
Acute Aortic Dissections,C0241868,1,1.0
History Of Malignant Mesothelioma,C1997977,7,1.0
Radiographic Examination,C4721829,1,1.0
Not Suspected Qualifier Value,C1997218,1,1.0
Cough Weak,C2202983,2,1.0
Dilatation Of Lateral Cerebral Ventricles,C1856409,2,1.0
Cervical Spondylosis At C5 C6,C2044977,1,1.0
Nonsister Chromatid Exchange,C0010366,1,1.0
Fracture Oblique,C0332711,2,1.0
Neck Of Left Femur,C0833290,4,1.0
Structure Of Circumflex Branch Of Left Coronary Artery,C0226037,1,0.99
Transitional Vertebrae,C1299890,3,1.0
R Lateral,C4299029,1,1.0
Sacral Region Of Central Canal Of Spinal Cord,C0223605,2,1.0
L Lateral,C4299030,1,1.0
Subfrontal,C1299595,1,1.0
